"period","country","energyCarrierParameterScenario","paperScen","unit","parameter","value","energyCarrier"
2030,"DE","BAU","Current policies","tCO2e/kWh","CO2 intensity diesel",0.0002682,"Diesel fossil"
2030,"DE","BAU","Removed policies","tCO2e/kWh","CO2 intensity diesel",0.0002682,"Diesel fossil"
2030,"DE","BAU","Sensitivity | Current Policies | Removed CO2 price","tCO2e/kWh","CO2 intensity diesel",0.0002682,"Diesel fossil"
2030,"DE","BAU","Sensitivity | Current Policies | Urban depot-only charging","tCO2e/kWh","CO2 intensity diesel",0.0002682,"Diesel fossil"
2030,"DE","BAU","Sensitivity | Current policies | Removed diesel efficiency gains","tCO2e/kWh","CO2 intensity diesel",0.0002682,"Diesel fossil"
2030,"DE","BAU","Sensitivity | Removed policies except for H2 tax reduction","tCO2e/kWh","CO2 intensity diesel",0.0002682,"Diesel fossil"
2030,"DE","BAU","Sensitivity | Removed policies except for bio/syn fuel mandates","tCO2e/kWh","CO2 intensity diesel",0.0002682,"Diesel fossil"
2030,"DE","BAU","Sensitivity | Removed policies | Removed diesel efficiency gains","tCO2e/kWh","CO2 intensity diesel",0.0002682,"Diesel fossil"
2030,"DE","PROG","Current policies","tCO2e/kWh","CO2 intensity diesel",0.0002682,"Diesel fossil"
2030,"DE","PROG","Removed policies","tCO2e/kWh","CO2 intensity diesel",0.0002682,"Diesel fossil"
2030,"DE","PROG","Sensitivity | Current Policies | Removed CO2 price","tCO2e/kWh","CO2 intensity diesel",0.0002682,"Diesel fossil"
2030,"DE","PROG","Sensitivity | Current Policies | Urban depot-only charging","tCO2e/kWh","CO2 intensity diesel",0.0002682,"Diesel fossil"
2030,"DE","PROG","Sensitivity | Current policies | Removed diesel efficiency gains","tCO2e/kWh","CO2 intensity diesel",0.0002682,"Diesel fossil"
2030,"DE","PROG","Sensitivity | Removed policies except for H2 tax reduction","tCO2e/kWh","CO2 intensity diesel",0.0002682,"Diesel fossil"
2030,"DE","PROG","Sensitivity | Removed policies except for bio/syn fuel mandates","tCO2e/kWh","CO2 intensity diesel",0.0002682,"Diesel fossil"
2030,"DE","PROG","Sensitivity | Removed policies | Removed diesel efficiency gains","tCO2e/kWh","CO2 intensity diesel",0.0002682,"Diesel fossil"
2030,"ES","BAU","Current policies","tCO2e/kWh","CO2 intensity diesel",0.0002682,"Diesel fossil"
2030,"ES","BAU","Removed policies","tCO2e/kWh","CO2 intensity diesel",0.0002682,"Diesel fossil"
2030,"ES","BAU","Sensitivity | Current Policies | Removed CO2 price","tCO2e/kWh","CO2 intensity diesel",0.0002682,"Diesel fossil"
2030,"ES","BAU","Sensitivity | Current Policies | Urban depot-only charging","tCO2e/kWh","CO2 intensity diesel",0.0002682,"Diesel fossil"
2030,"ES","BAU","Sensitivity | Current policies | Removed diesel efficiency gains","tCO2e/kWh","CO2 intensity diesel",0.0002682,"Diesel fossil"
2030,"ES","BAU","Sensitivity | Removed policies except for H2 tax reduction","tCO2e/kWh","CO2 intensity diesel",0.0002682,"Diesel fossil"
2030,"ES","BAU","Sensitivity | Removed policies except for bio/syn fuel mandates","tCO2e/kWh","CO2 intensity diesel",0.0002682,"Diesel fossil"
2030,"ES","BAU","Sensitivity | Removed policies | Removed diesel efficiency gains","tCO2e/kWh","CO2 intensity diesel",0.0002682,"Diesel fossil"
2030,"ES","PROG","Current policies","tCO2e/kWh","CO2 intensity diesel",0.0002682,"Diesel fossil"
